rank,followers,engagement_rate,category,potential_reach,country,channel_name,channel_id
77,6600.0,0.05,education,2000.0,ecuador,Connie Jiménez,connie_maily
78,6600.0,0.58,beauty & self care product education product showcase,2000.0,ecuador,Gloria Saltos,gloriasaltosec
79,6500.0,0.48,entertainment & music,2000.0,ecuador,Alondra Santiago,alocuba
80,6300.0,0.13,entertainment & music,1900.0,ecuador,J A I M E A R E L L A N O 🇪🇨,jaimearellano10
81,6200.0,0.24,entertainment & music fashion & accessories,1900.0,ecuador,Mateo Carvajal,mat_carvajal
82,6200.0,0.32,finance,1900.0,ecuador,Klei Mora,kleimora
83,6100.0,0.58,fashion & accessories,1800.0,ecuador,Kelly Bustamante ☀️,kellybustamante_
84,6100.0,0.58,unknown,1800.0,ecuador,Josué Sánchez,josuesanchezec
85,6000.0,0.5,entertainment & music photography,1800.0,ecuador,Samanta Mora,morasamanta
86,6000.0,0.48,finance,1800.0,ecuador,Daniela Calero,danielacalero
87,5900.0,0.07,fashion & accessories,1800.0,ecuador,Papyrus,papyrus.moda
88,5900.0,0.44,politics & society,1800.0,ecuador,Susana González,6susanagonzalez
89,5900.0,1.24,fashion & accessories,1800.0,ecuador,Aron Andrade,aronelchiche
90,5800.0,1.26,oddly satisfying,1700.0,ecuador,Richard Salazar Barona,richardsalazarbarona
91,5700.0,0.13,beauty & self care fashion & accessories,1700.0,ecuador,Lynn-Kate,lynnkatee
92,5700.0,0.04,beauty & self care education,1700.0,ecuador,ARMANDO CABRERA MAKE UP ARTIST,armandocabrerac
93,5700.0,0.27,education,1700.0,ecuador,PERLA| Cabello rizado•Psicología•Humor,afroaguacate
94,5600.0,0.36,fashion & accessories entertainment & music acting & drama,1700.0,ecuador,Nicole Pinilla,nicolepinilla_
95,5300.0,0.58,funny,1600.0,ecuador,Kleber Augusto,_klebiinho
96,5200.0,0.09,product showcase finance,1600.0,ecuador,Stefany Bowen,stechell
97,5100.0,0.08,animation & cosplay,1500.0,ecuador,JudasAndres,judasandres
98,5100.0,0.12,entertainment & music,1500.0,ecuador,Missvtramoya,missvtramoya
99,5100.0,0.1,food,1500.0,ecuador,400 Grados,400_grados
100,4900.0,0.5,education,1500.0,ecuador,💠Silvana Muñoz,siilvimunoz
1,13800000.0,0.2,unknown,4099999.9999999995,ecuador,Doc Tops,UCAolsolgHiURrQBuZ4qe0lg
2,12700000.0,0.58,unknown,3800000.0,ecuador,RaptorGamer,UCS4OZlj8753fezBtH62TRDg
3,9100000.0,0.58,unknown,2700000.0,ecuador,MIS PEQUEÑOS ACTORES,UCFE81LrtSi1lxL0h_6GwyaQ
4,3100000.0,0.58,unknown,942000.0,ecuador,QUISBROT,UCPH4Uvr87z9HTwCalXPZqOQ
5,2700000.0,0.1,unknown,822000.0,ecuador,Wallas Da Silva,UCyWkiZfibCH6ENLl6D--gng
6,2600000.0,0.1,unknown,792000.0,ecuador,Nancy Risol,UCDZhJlgKdsdk_5bodS7Gm7A
7,2600000.0,0.58,unknown,780000.0,ecuador,TopMan,UCcGSN_X2rHEwej7zXFL6-gQ
8,2300000.0,3.2,unknown,693000.0,ecuador,KreckGamer,UCgsNNwktpmDxiFX1hz5KrkQ
9,2200000.0,0.5,unknown,648000.0,ecuador,KevleX Show,UC7QGPzPwBROLbwl-T_iIGRQ
10,1900000.0,0.58,unknown,579000.0,ecuador,Positivos,UCF-178L6ewervVYFHbpEsOw
11,1900000.0,0.5,unknown,561000.0,ecuador,JorgeIsaac115,UCDp-aWLlOZUWwtG4c1maZKQ
12,1800000.0,0.1,unknown,549000.0,ecuador,NAYLA Vlogs,UC_zaLJ30yLlq5Pd86jdu_Og
13,1800000.0,0.58,unknown,531000.0,ecuador,Adrian Yepez Fitness,UCB0vssTrVuRXTf_7vFRoxzw
14,1600000.0,2.6,unknown,483000.0,ecuador,WefeOfficial,wefeofficial
15,1500000.0,0.58,unknown,435000.0,ecuador,Deriam Studios,UC-aJ5-YxVUH77ro5MGJt7Dg
16,1400000.0,0.58,unknown,423000.0,ecuador,Luz María,UCohmArq3kiopKqYbSwmVbHw
17,1400000.0,0.58,unknown,414000.0,ecuador,Ecuavisa,UCRUV3nUNSc-xpBrTwQOCQQg
18,1300000.0,0.3,unknown,402000.0,ecuador,GabSolf,gabsolf
19,1300000.0,0.58,unknown,381000.0,ecuador,CRONOS FILMS TV,UCvPidFo-5ipjKeoDPPBpSFQ
20,1300000.0,0.58,unknown,375000.0,ecuador,JoelThePro,UCR7C98e3SYFXF207_XMRCAQ
21,1200000.0,0.3,unknown,354000.0,ecuador,Mois,UCInry9EVnzn9dwu6so-1ZIQ
22,1100000.0,14.0,unknown,333000.0,ecuador,DJ EDUARDO,UCYOxMYgsLgRYnHZY8fEQa2g
23,1100000.0,0.58,unknown,330000.0,ecuador,Jefferson Rescata,UCbT2MOpQ4nQ2F8fEWrk5T3g
24,1100000.0,0.58,unknown,321000.0,ecuador,Mikecrack Noticias,UCAPV5WaIJGRO7zCKWOwSTlw
25,1100000.0,0.58,unknown,315000.0,ecuador,ECDF - El Canal del Fútbol,UComm7W4UIS_sIP4QIj-afQQ
26,1100000.0,0.58,unknown,315000.0,ecuador,Kasterwey Music,UClBfPO2qq7YlKwzn6B5sT4Q
27,1100000.0,0.58,unknown,315000.0,ecuador,Reflexiones de Vida,UCVuSsaWgsyoECvCiYLgsTsQ
28,1000000.0,0.1,unknown,306000.0,ecuador,VITERI BOXING,UClGNpfpf2ZJjToo4Mn34k8g
29,996000.0,0.58,unknown,298800.0,ecuador,AshukitO,UCXi_Od0G-Qc7Y3kQmhKZAgw
30,903000.0,1.2,unknown,270900.0,ecuador,Chakita,UCLb3PvD5RlySOqwUmbD7Wzg
31,898000.0,0.58,unknown,269400.0,ecuador,the DuWard player,UCxejMO24F9dniXyob_QdSnw
32,892000.0,0.58,unknown,267600.0,ecuador,FinnHDA,UCa5kta_r_lLyAVAGLYD-FCA
33,891000.0,0.1,unknown,267300.0,ecuador,KWA,UCW508ZZAAJg_O99kFHio_ew
34,850000.0,0.58,unknown,255000.0,ecuador,MEJORES FREESTYLE RAP,UCSZkHPRwZOBrHVYGHa2k0Sg
35,841000.0,0.58,unknown,252300.0,ecuador,Remedios Caseros 10,UCzHkXxPRO0LpTcno_x2Y0wQ
36,832000.0,0.8,unknown,249600.0,ecuador,HipotesisdePoder,UCp-ZlVc-lJ7MrdlzMOJU36g
37,802000.0,0.58,unknown,240600.0,ecuador,Smith Benavides,UCXxRXli3jLXd75Z9YLr5Qig
38,773000.0,0.5,unknown,231900.0,ecuador,OSHITA FF,oshitaff
39,766000.0,0.2,unknown,229800.0,ecuador,FernandoOtv,UCCrr-sZMoa2PjuFugEFNZ6g
40,760000.0,0.1,unknown,228000.0,ecuador,Regala Siempre Amor,bequiharo
41,752000.0,0.5,unknown,225600.0,ecuador,Maikel Moreira,maikelmoreira
42,748000.0,1.5,unknown,224400.0,ecuador,CharlieTales,UCOQ-ru8bJZSj_gqDyO9r1dQ
43,744000.0,0.7,unknown,223200.0,ecuador,elgranqenk2,UCTVlEYIot8eHlhSlziENlog
44,743000.0,0.58,unknown,222900.0,ecuador,EL INCREIBLE MUNDO DEL VINE,UCqljMN6apJAE7Y04Zja6BwA
45,709000.0,0.2,unknown,212700.0,ecuador,Marcos Otavalo,UCZ0CaICGPGgjLgMbNWM44jg
46,698000.0,0.2,unknown,209400.0,ecuador,Mabe Blog,mabelacosta
47,693000.0,0.58,unknown,207900.0,ecuador,El Cabra,UC25VXlvds0XycRDdcCnH7lw
48,678000.0,0.58,unknown,203400.0,ecuador,Aaron Cuenca,aaroncuencavlogs
